OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_Volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-Ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-Ignore
2021-12-23 11:15:00,3960.03,3968.79,3954.17,3955.01,644.8249,2021-12-23 11:29:59.999,2553690.036342,2776.0,346.5281,1372338.871446,0.0,48870.51,48960.0,48755.13,48759.32,97.05491,4741537.1447977,3657.0,44.92721,2195013.0431671,0.0
2021-12-23 11:30:00,3955.16,3969.89,3946.19,3969.04,1274.4453,2021-12-23 11:44:59.999,5043873.196268,3168.0,706.1393,2796219.861427,0.0,48759.32,48864.9,48691.58,48850.99,130.68285,6371127.2839058,3706.0,80.74917,3936596.1035185,0.0
2021-12-23 11:45:00,3969.04,3992.33,3965.92,3987.2,2262.2754,2021-12-23 11:59:59.999,9005510.918271,6018.0,1345.9782,5357039.611782,0.0,48850.99,49160.0,48850.99,49100.87,178.04725,8730613.5660371,6330.0,92.76232,4548114.5276128,0.0
2021-12-23 12:00:00,3987.29,3997.7,3983.22,3993.15,1169.5311,2021-12-23 12:14:59.999,4668502.418519,3903.0,639.5575,2553224.348802,0.0,49100.88,49200.0,49032.95,49161.51,98.287,4827939.6957182,4159.0,56.88079,2793837.7118778,0.0
2021-12-23 12:15:00,3993.2,4002.0,3991.0,3997.12,1400.2375,2021-12-23 12:29:59.999,5597584.969527,4579.0,958.174,3830654.186638,0.0,49161.0,49269.66,49100.0,49214.29,135.34609,6657633.2538359,4804.0,81.83088,4025212.8589146,0.0
2021-12-23 12:30:00,3997.2,4025.75,3994.11,4017.35,3307.9017,2021-12-23 12:44:59.999,13270064.541392,8407.0,2275.2473,9125267.615892,0.0,49215.33,49885.0,49207.28,49775.82,460.71197,22838858.8276014,13252.0,271.35402,13452969.2350164,0.0
2021-12-23 12:45:00,4017.47,4048.6,4016.71,4045.21,3912.8103,2021-12-23 12:59:59.999,15798014.969335,10386.0,2624.192,10595836.281656,0.0,49775.83,50166.79,49740.64,50070.0,538.55152,26916785.6910883,14616.0,301.8641,15088245.6966105,0.0
2021-12-23 13:00:00,4045.21,4079.56,4045.21,4067.39,5239.8665,2021-12-23 13:14:59.999,21300577.015532,14415.0,3482.8921,14156973.648683,0.0,50070.01,50448.99,50070.0,50388.73,287.59739,14473906.069932,11285.0,149.53899,7524752.3738444,0.0
2021-12-23 13:15:00,4067.39,4106.66,4067.39,4103.17,5321.8777,2021-12-23 13:29:59.999,21763656.343544,15554.0,3512.7108,14365991.560634,0.0,50388.72,50767.37,50387.78,50742.64,363.93753,18385909.9184735,11491.0,182.67517,9228520.8009854,0.0
2021-12-23 13:30:00,4103.22,4105.0,4078.96,4081.49,2916.9725,2021-12-23 13:44:59.999,11939097.879773,6991.0,947.9991,3880408.294064,0.0,50742.64,50784.91,50467.32,50507.89,227.6218,11531331.0909578,7757.0,97.8615,4957959.3431429,0.0
2021-12-23 13:45:00,4081.48,4100.0,4074.62,4094.96,2151.3974,2021-12-23 13:59:59.999,8798553.398267,5650.0,1040.8371,4257353.088656,0.0,50507.89,50720.0,50457.52,50638.67,191.09994,9666475.1505669,6163.0,92.81554,4694878.1156953,0.0
2021-12-23 14:00:00,4095.61,4112.52,4090.4,4109.31,1415.301,2021-12-23 14:14:59.999,5803791.271663,5271.0,611.95,2510197.862486,0.0,50634.29,50683.77,50517.53,50636.62,115.50867,5846422.2671649,4119.0,49.41296,2500677.4956799,0.0
2021-12-23 14:15:00,4109.31,4138.91,4109.3,4127.29,3559.1155,2021-12-23 14:29:59.999,14681870.848846,9545.0,1996.9361,8235797.867604,0.0,50636.63,50997.24,50636.62,50828.12,254.46168,12937979.5984596,8816.0,140.69537,7154040.2946021,0.0
2021-12-23 14:30:00,4127.38,4149.0,4127.38,4143.02,2864.4244,2021-12-23 14:44:59.999,11854888.227389,6908.0,1399.4165,5793191.319032,0.0,50828.11,51250.0,50817.96,51147.82,315.58209,16102195.003365,8932.0,169.72576,8659105.470185,0.0
2021-12-23 14:45:00,4143.02,4153.18,4130.38,4134.47,2421.6415,2021-12-23 14:59:59.999,10034763.847169,7297.0,1157.0576,4795651.169913,0.0,51152.55,51384.72,51088.28,51126.62,309.69696,15873946.7383545,9979.0,145.20646,7442915.6042628,0.0
